"","GEOID","pop_5_and_under"
"383","01833",423
"384","01834",519
"385","01835",632
"386","01840",879
"387","01841",5217
"388","01843",2270
"389","01844",2866
"390","01845",1861
"391","01850",1489
"392","01851",2517
"393","01852",2670
"394","01854",1577
"395","01860",550
"396","01862",397
"397","01863",517
"398","01864",1142
"399","01867",1599
"400","01876",1978
"401","01879",579
"402","01880",1826
"403","01886",1412
"404","01887",1706
"405","01890",1870
"406","01901",110
"407","01902",4130
"408","01904",1335
"409","01905",2315
"410","01906",1454
"411","01907",951
"412","01908",118
"413","01913",771
"414","01915",2839
"415","01921",331
"416","01922",293
"417","01923",1492
"418","01929",389
"419","01930",1816
"420","01937",0
"421","01938",675
"422","01940",1363
"423","01944",364
"424","01945",988
"425","01949",576
"426","01950",906
"427","01951",154
"428","01952",443
"429","01960",3632
"430","01965",16
"431","01966",258
"432","01969",329
"433","01970",2827
"434","01982",590
"435","01983",573
"436","01984",194
"437","01985",153
"438","02019",999
"439","02021",1655
"440","02025",881
"441","02026",1972
"442","02030",337
"443","02032",299
"444","02035",1098
"445","02038",1711
"446","02043",1894
"447","02045",397
"448","02047",0
"449","02048",1297
"450","02050",1411
"451","02052",1062
"452","02053",1026
"453","02054",563
"454","02056",848
"455","02061",1086
"456","02062",2136
"457","02066",799
"458","02067",1523
"459","02071",16
"460","02072",1430
"461","02081",1552
"462","02090",1080
"463","02093",704
"464","02108",0
"465","02109",192
"466","02110",91
"467","02111",488
"468","02113",198
"469","02114",449
"470","02115",531
"471","02116",863
"472","02118",1128
"473","02119",1804
"474","02120",558
"475","02121",1845
"476","02122",1353
"477","02124",3962
"478","02125",1893
"479","02126",2225
"480","02127",1935
"481","02128",3087
"482","02129",2062
"483","02130",3346
"484","02131",2326
"485","02132",1927
"486","02133",0
"487","02134",160
"488","02135",1539
"489","02136",3105
"490","02138",1930
"491","02139",1886
"492","02140",936
"493","02141",755
"494","02142",184
"495","02143",1072
"496","02144",1257
"497","02145",1449
"498","02148",5166
"499","02149",3510
"500","02150",3789
"501","02151",4757
"502","02152",1020
"503","02155",3032
"504","02163",20
"505","02169",4452
"506","02170",970
"507","02171",668
"508","02176",2017
"509","02180",1584
"510","02184",1964
"511","02186",1808
"512","02188",636
"513","02189",581
"514","02190",1290
"515","02191",341
"516","02199",56
"517","02203",0
"518","02205",0
"519","02210",196
"520","02215",208
"521","02301",5326
"522","02302",2620
"523","02322",352
"524","02324",1454
"525","02325",0
"526","02330",713
"527","02332",812
"528","02333",884
"529","02338",431
"530","02339",1241
"531","02341",553
"532","02343",741
"533","02346",1821
"534","02347",818
"535","02350",0
"536","02351",1379
"537","02356",547
"538","02357",0
"539","02359",1126
"540","02360",3291
"541","02364",893
"542","02366",0
"543","02367",183
"544","02368",1888
"545","02370",1383
"546","02375",447
"547","02379",469
"548","02382",760
"549","02420",731
"550","02421",716
"551","02445",1089
"552","02446",2278
"553","02451",918
"554","02452",941
"555","02453",1825
"556","02457",0
"557","02458",716
"558","02459",1080
"559","02460",447
"560","02461",489
"561","02462",57
"562","02464",228
"563","02465",698
"564","02466",439
"565","02467",1062
"566","02468",268
"567","02472",2290
"568","02474",2327
