"","type","desert","non-desert"
"1","arpa_paycheck_3",3407040,15728960
"2","arpa_retention",1619200,7854650
"3","arpa_training",148785,947115
"4","crrsa_paycheck_1",4986573.74,13267892.35
"5","crrsa_paycheck_2",10687040,34770817
"6","crrsa_startup_expansion",4434787.44,14869333.14
"7","crrsa_tech_asistance",474172.45,1485301.05
