"","...1","...2","zcta","year","month","childcare_programs","programs_accepting_subsidies","licensed_capacity","pop_5_and_under","ratio","status","status_num","dw"
"835",7996,NA,"65040",2023,"March",NA,NA,NA,85,NA,"desert",1,"85 children and no child care programs"
"836",7997,NA,"65047",2023,"March",NA,NA,NA,145,NA,"desert",1,"145 children and no child care programs"
"837",7998,NA,"65048",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"838",7999,NA,"65050",2023,"March",NA,NA,NA,157,NA,"desert",1,"157 children and no child care programs"
"839",8000,NA,"65053",2023,"March",NA,NA,NA,60,NA,"desert",1,"60 children and no child care programs"
"840",8001,NA,"65058",2023,"March",NA,NA,NA,66,NA,"desert",1,"66 children and no child care programs"
"841",8002,NA,"65061",2023,"March",NA,NA,NA,28,NA,"non-desert",0,"28 children and no child care programs"
"842",8003,NA,"65062",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"843",8004,NA,"65064",2023,"March",NA,NA,NA,76,NA,"desert",1,"76 children and no child care programs"
"844",8005,NA,"65067",2023,"March",NA,NA,NA,87,NA,"desert",1,"87 children and no child care programs"
"845",8006,NA,"65068",2023,"March",NA,NA,NA,18,NA,"non-desert",0,"18 children and no child care programs"
"846",8007,NA,"65069",2023,"March",NA,NA,NA,39,NA,"non-desert",0,"39 children and no child care programs"
"847",8008,NA,"65072",2023,"March",NA,NA,NA,140,NA,"desert",1,"140 children and no child care programs"
"848",8009,NA,"65077",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"849",8010,NA,"65079",2023,"March",NA,NA,NA,102,NA,"desert",1,"102 children and no child care programs"
"850",8011,NA,"65080",2023,"March",NA,NA,NA,63,NA,"desert",1,"63 children and no child care programs"
"851",8012,NA,"65083",2023,"March",NA,NA,NA,42,NA,"non-desert",0,"42 children and no child care programs"
"852",8013,NA,"65215",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"853",8014,NA,"65230",2023,"March",NA,NA,NA,71,NA,"desert",1,"71 children and no child care programs"
"854",8015,NA,"65232",2023,"March",NA,NA,NA,29,NA,"non-desert",0,"29 children and no child care programs"
"855",8016,NA,"65237",2023,"March",NA,NA,NA,39,NA,"non-desert",0,"39 children and no child care programs"
"856",8017,NA,"65239",2023,"March",NA,NA,NA,63,NA,"desert",1,"63 children and no child care programs"
"857",8018,NA,"65243",2023,"March",NA,NA,NA,200,NA,"desert",1,"200 children and no child care programs"
"858",8019,NA,"65244",2023,"March",NA,NA,NA,64,NA,"desert",1,"64 children and no child care programs"
"859",8020,NA,"65246",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"860",8021,NA,"65247",2023,"March",NA,NA,NA,68,NA,"desert",1,"68 children and no child care programs"
"861",8022,NA,"65250",2023,"March",NA,NA,NA,22,NA,"non-desert",0,"22 children and no child care programs"
"862",8023,NA,"65257",2023,"March",NA,NA,NA,160,NA,"desert",1,"160 children and no child care programs"
"863",8024,NA,"65258",2023,"March",NA,NA,NA,40,NA,"non-desert",0,"40 children and no child care programs"
"864",8025,NA,"65260",2023,"March",NA,NA,NA,15,NA,"non-desert",0,"15 children and no child care programs"
"865",8026,NA,"65263",2023,"March",NA,NA,NA,75,NA,"desert",1,"75 children and no child care programs"
"866",8027,NA,"65264",2023,"March",NA,NA,NA,26,NA,"non-desert",0,"26 children and no child care programs"
"867",8028,NA,"65274",2023,"March",NA,NA,NA,137,NA,"desert",1,"137 children and no child care programs"
"868",8029,NA,"65276",2023,"March",NA,NA,NA,90,NA,"desert",1,"90 children and no child care programs"
"869",8030,NA,"65278",2023,"March",NA,NA,NA,2,NA,"non-desert",0,"2 children and no child care programs"
"870",8031,NA,"65279",2023,"March",NA,NA,NA,10,NA,"non-desert",0,"10 children and no child care programs"
"871",8032,NA,"65280",2023,"March",NA,NA,NA,3,NA,"non-desert",0,"3 children and no child care programs"
"872",8033,NA,"65282",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"873",8034,NA,"65283",2023,"March",NA,NA,NA,5,NA,"non-desert",0,"5 children and no child care programs"
"874",8035,NA,"65285",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"875",8036,NA,"65286",2023,"March",NA,NA,NA,1,NA,"non-desert",0,"1 children and no child care programs"
"876",8037,NA,"65287",2023,"March",NA,NA,NA,11,NA,"non-desert",0,"11 children and no child care programs"
"877",8038,NA,"65305",2023,"March",NA,NA,NA,484,NA,"desert",1,"484 children and no child care programs"
"878",8039,NA,"65320",2023,"March",NA,NA,NA,3,NA,"non-desert",0,"3 children and no child care programs"
"879",8040,NA,"65321",2023,"March",NA,NA,NA,13,NA,"non-desert",0,"13 children and no child care programs"
"880",8041,NA,"65322",2023,"March",NA,NA,NA,47,NA,"non-desert",0,"47 children and no child care programs"
"881",8042,NA,"65323",2023,"March",NA,NA,NA,59,NA,"desert",1,"59 children and no child care programs"
"882",8043,NA,"65324",2023,"March",NA,NA,NA,8,NA,"non-desert",0,"8 children and no child care programs"
"883",8044,NA,"65326",2023,"March",NA,NA,NA,41,NA,"non-desert",0,"41 children and no child care programs"
"884",8045,NA,"65329",2023,"March",NA,NA,NA,5,NA,"non-desert",0,"5 children and no child care programs"
"885",8046,NA,"65330",2023,"March",NA,NA,NA,25,NA,"non-desert",0,"25 children and no child care programs"
"886",8047,NA,"65333",2023,"March",NA,NA,NA,11,NA,"non-desert",0,"11 children and no child care programs"
"887",8048,NA,"65334",2023,"March",NA,NA,NA,86,NA,"desert",1,"86 children and no child care programs"
"888",8049,NA,"65335",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"889",8050,NA,"65339",2023,"March",NA,NA,NA,12,NA,"non-desert",0,"12 children and no child care programs"
"890",8051,NA,"65344",2023,"March",NA,NA,NA,13,NA,"non-desert",0,"13 children and no child care programs"
"891",8052,NA,"65345",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"892",8053,NA,"65347",2023,"March",NA,NA,NA,109,NA,"desert",1,"109 children and no child care programs"
"893",8054,NA,"65348",2023,"March",NA,NA,NA,117,NA,"desert",1,"117 children and no child care programs"
"894",8055,NA,"65349",2023,"March",NA,NA,NA,275,NA,"desert",1,"275 children and no child care programs"
"895",8056,NA,"65351",2023,"March",NA,NA,NA,129,NA,"desert",1,"129 children and no child care programs"
"896",8057,NA,"65354",2023,"March",NA,NA,NA,45,NA,"non-desert",0,"45 children and no child care programs"
"897",8058,NA,"65436",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"898",8059,NA,"65438",2023,"March",NA,NA,NA,321,NA,"desert",1,"321 children and no child care programs"
"899",8060,NA,"65439",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"900",8061,NA,"65440",2023,"March",NA,NA,NA,43,NA,"non-desert",0,"43 children and no child care programs"
"901",8062,NA,"65443",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"902",8063,NA,"65444",2023,"March",NA,NA,NA,38,NA,"non-desert",0,"38 children and no child care programs"
"903",8064,NA,"65446",2023,"March",NA,NA,NA,80,NA,"desert",1,"80 children and no child care programs"
"904",8065,NA,"65449",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"905",8066,NA,"65456",2023,"March",NA,NA,NA,24,NA,"non-desert",0,"24 children and no child care programs"
"906",8067,NA,"65457",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"907",8068,NA,"65461",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"908",8069,NA,"65462",2023,"March",NA,NA,NA,19,NA,"non-desert",0,"19 children and no child care programs"
"909",8070,NA,"65463",2023,"March",NA,NA,NA,31,NA,"non-desert",0,"31 children and no child care programs"
"910",8071,NA,"65464",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"911",8072,NA,"65466",2023,"March",NA,NA,NA,39,NA,"non-desert",0,"39 children and no child care programs"
"912",8073,NA,"65468",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"913",8074,NA,"65470",2023,"March",NA,NA,NA,19,NA,"non-desert",0,"19 children and no child care programs"
"914",8075,NA,"65473",2023,"March",NA,NA,NA,1025,NA,"desert",1,"1025 children and no child care programs"
"915",8076,NA,"65479",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"916",8077,NA,"65484",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"917",8078,NA,"65501",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"918",8079,NA,"65529",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"919",8080,NA,"65534",2023,"March",NA,NA,NA,65,NA,"desert",1,"65 children and no child care programs"
"920",8081,NA,"65535",2023,"March",NA,NA,NA,131,NA,"desert",1,"131 children and no child care programs"
"921",8082,NA,"65541",2023,"March",NA,NA,NA,10,NA,"non-desert",0,"10 children and no child care programs"
"922",8083,NA,"65543",2023,"March",NA,NA,NA,28,NA,"non-desert",0,"28 children and no child care programs"
"923",8084,NA,"65550",2023,"March",NA,NA,NA,118,NA,"desert",1,"118 children and no child care programs"
"924",8085,NA,"65552",2023,"March",NA,NA,NA,201,NA,"desert",1,"201 children and no child care programs"
"925",8086,NA,"65555",2023,"March",NA,NA,NA,123,NA,"desert",1,"123 children and no child care programs"
"926",8087,NA,"65557",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"927",8088,NA,"65564",2023,"March",NA,NA,NA,23,NA,"non-desert",0,"23 children and no child care programs"
"928",8089,NA,"65566",2023,"March",NA,NA,NA,60,NA,"desert",1,"60 children and no child care programs"
"929",8090,NA,"65571",2023,"March",NA,NA,NA,23,NA,"non-desert",0,"23 children and no child care programs"
"930",8091,NA,"65580",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"931",8092,NA,"65586",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"932",8093,NA,"65589",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"933",8094,NA,"65590",2023,"March",NA,NA,NA,226,NA,"desert",1,"226 children and no child care programs"
"934",8095,NA,"65591",2023,"March",NA,NA,NA,245,NA,"desert",1,"245 children and no child care programs"
"935",8096,NA,"65601",2023,"March",NA,NA,NA,37,NA,"non-desert",0,"37 children and no child care programs"
"936",8097,NA,"65603",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"937",8098,NA,"65604",2023,"March",NA,NA,NA,253,NA,"desert",1,"253 children and no child care programs"
"938",8099,NA,"65610",2023,"March",NA,NA,NA,293,NA,"desert",1,"293 children and no child care programs"
"939",8100,NA,"65612",2023,"March",NA,NA,NA,102,NA,"desert",1,"102 children and no child care programs"
"940",8101,NA,"65614",2023,"March",NA,NA,NA,58,NA,"desert",1,"58 children and no child care programs"
"941",8102,NA,"65618",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"942",8103,NA,"65620",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"943",8104,NA,"65623",2023,"March",NA,NA,NA,5,NA,"non-desert",0,"5 children and no child care programs"
"944",8105,NA,"65624",2023,"March",NA,NA,NA,268,NA,"desert",1,"268 children and no child care programs"
"945",8106,NA,"65626",2023,"March",NA,NA,NA,153,NA,"desert",1,"153 children and no child care programs"
"946",8107,NA,"65627",2023,"March",NA,NA,NA,89,NA,"desert",1,"89 children and no child care programs"
"947",8108,NA,"65630",2023,"March",NA,NA,NA,12,NA,"non-desert",0,"12 children and no child care programs"
"948",8109,NA,"65634",2023,"March",NA,NA,NA,57,NA,"desert",1,"57 children and no child care programs"
"949",8110,NA,"65635",2023,"March",NA,NA,NA,14,NA,"non-desert",0,"14 children and no child care programs"
"950",8111,NA,"65637",2023,"March",NA,NA,NA,20,NA,"non-desert",0,"20 children and no child care programs"
"951",8112,NA,"65638",2023,"March",NA,NA,NA,31,NA,"non-desert",0,"31 children and no child care programs"
"952",8113,NA,"65640",2023,"March",NA,NA,NA,258,NA,"desert",1,"258 children and no child care programs"
"953",8114,NA,"65641",2023,"March",NA,NA,NA,30,NA,"non-desert",0,"30 children and no child care programs"
"954",8115,NA,"65644",2023,"March",NA,NA,NA,145,NA,"desert",1,"145 children and no child care programs"
"955",8116,NA,"65770",2023,"March",NA,NA,NA,143,NA,"desert",1,"143 children and no child care programs"
"956",8117,NA,"65649",2023,"March",NA,NA,NA,248,NA,"desert",1,"248 children and no child care programs"
"957",8118,NA,"65650",2023,"March",NA,NA,NA,191,NA,"desert",1,"191 children and no child care programs"
"958",8119,NA,"65652",2023,"March",NA,NA,NA,285,NA,"desert",1,"285 children and no child care programs"
