"","...1","zcta","year","month","childcare_programs","programs_accepting_subsidies","licensed_capacity","pop_5_and_under"
"1914",NA,"65333","2020","March",NA,NA,NA,11
"1915",NA,"65334","2020","March",NA,NA,NA,86
"1916",NA,"65335","2020","March",NA,NA,NA,0
"1917",NA,"65339","2020","March",NA,NA,NA,12
"1918",NA,"65344","2020","March",NA,NA,NA,13
"1919",NA,"65345","2020","March",NA,NA,NA,0
"1920",NA,"65347","2020","March",NA,NA,NA,109
"1921",NA,"65348","2020","March",NA,NA,NA,117
"1922",NA,"65349","2020","March",NA,NA,NA,275
"1923",NA,"65351","2020","March",NA,NA,NA,129
"1924",NA,"65354","2020","March",NA,NA,NA,45
"1925",NA,"65436","2020","March",NA,NA,NA,0
"1926",NA,"65438","2020","March",NA,NA,NA,321
"1927",NA,"65439","2020","March",NA,NA,NA,0
"1928",NA,"65440","2020","March",NA,NA,NA,43
"1929",NA,"65443","2020","March",NA,NA,NA,0
"1930",NA,"65444","2020","March",NA,NA,NA,38
"1931",NA,"65446","2020","March",NA,NA,NA,80
"1932",NA,"65449","2020","March",NA,NA,NA,0
"1933",NA,"65456","2020","March",NA,NA,NA,24
"1934",NA,"65457","2020","March",NA,NA,NA,0
"1935",NA,"65461","2020","March",NA,NA,NA,0
"1936",NA,"65462","2020","March",NA,NA,NA,19
"1937",NA,"65463","2020","March",NA,NA,NA,31
"1938",NA,"65464","2020","March",NA,NA,NA,0
"1939",NA,"65466","2020","March",NA,NA,NA,39
"1940",NA,"65468","2020","March",NA,NA,NA,0
"1941",NA,"65470","2020","March",NA,NA,NA,19
"1942",NA,"65473","2020","March",NA,NA,NA,1025
"1943",NA,"65479","2020","March",NA,NA,NA,0
"1944",NA,"65484","2020","March",NA,NA,NA,0
"1945",NA,"65501","2020","March",NA,NA,NA,0
"1946",NA,"65529","2020","March",NA,NA,NA,0
"1947",NA,"65534","2020","March",NA,NA,NA,65
"1948",NA,"65535","2020","March",NA,NA,NA,131
"1949",NA,"65541","2020","March",NA,NA,NA,10
"1950",NA,"65543","2020","March",NA,NA,NA,28
"1951",NA,"65550","2020","March",NA,NA,NA,118
"1952",NA,"65552","2020","March",NA,NA,NA,201
"1953",NA,"65555","2020","March",NA,NA,NA,123
"1954",NA,"65557","2020","March",NA,NA,NA,0
"1955",NA,"65564","2020","March",NA,NA,NA,23
"1956",NA,"65566","2020","March",NA,NA,NA,60
"1957",NA,"65570","2020","March",NA,NA,NA,21
"1958",NA,"65580","2020","March",NA,NA,NA,0
"1959",NA,"65586","2020","March",NA,NA,NA,0
"1960",NA,"65589","2020","March",NA,NA,NA,0
"1961",NA,"65590","2020","March",NA,NA,NA,226
"1962",NA,"65591","2020","March",NA,NA,NA,245
"1963",NA,"65601","2020","March",NA,NA,NA,37
"1964",NA,"65603","2020","March",NA,NA,NA,0
"1965",NA,"65604","2020","March",NA,NA,NA,253
"1966",NA,"65609","2020","March",NA,NA,NA,42
"1967",NA,"65612","2020","March",NA,NA,NA,102
"1968",NA,"65614","2020","March",NA,NA,NA,58
"1969",NA,"65618","2020","March",NA,NA,NA,0
"1970",NA,"65620","2020","March",NA,NA,NA,0
"1971",NA,"65623","2020","March",NA,NA,NA,5
"1972",NA,"65624","2020","March",NA,NA,NA,268
"1973",NA,"65626","2020","March",NA,NA,NA,153
"1974",NA,"65627","2020","March",NA,NA,NA,89
"1975",NA,"65630","2020","March",NA,NA,NA,12
"1976",NA,"65634","2020","March",NA,NA,NA,57
"1977",NA,"65635","2020","March",NA,NA,NA,14
"1978",NA,"65637","2020","March",NA,NA,NA,20
"1979",NA,"65638","2020","March",NA,NA,NA,31
"1980",NA,"65640","2020","March",NA,NA,NA,258
"1981",NA,"65641","2020","March",NA,NA,NA,30
"1982",NA,"65644","2020","March",NA,NA,NA,145
"1983",NA,"65770","2020","March",NA,NA,NA,143
"1984",NA,"65646","2020","March",NA,NA,NA,54
"1985",NA,"65647","2020","March",NA,NA,NA,218
"1986",NA,"65649","2020","March",NA,NA,NA,248
"1987",NA,"65650","2020","March",NA,NA,NA,191
"1988",NA,"65654","2020","March",NA,NA,NA,39
"1989",NA,"65656","2020","March",NA,NA,NA,182
"1990",NA,"65657","2020","March",NA,NA,NA,50
"1991",NA,"65658","2020","March",NA,NA,NA,5
"1992",NA,"65660","2020","March",NA,NA,NA,6
"1993",NA,"65663","2020","March",NA,NA,NA,195
"1994",NA,"65664","2020","March",NA,NA,NA,0
"1995",NA,"65669","2020","March",NA,NA,NA,70
"1996",NA,"65739","2020","March",NA,NA,NA,35
"1997",NA,"65674","2020","March",NA,NA,NA,166
"1998",NA,"65676","2020","March",NA,NA,NA,52
"1999",NA,"65682","2020","March",NA,NA,NA,82
"2000",NA,"65685","2020","March",NA,NA,NA,88
"2001",NA,"65690","2020","March",NA,NA,NA,4
"2002",NA,"65692","2020","March",NA,NA,NA,60
"2003",NA,"65702","2020","March",NA,NA,NA,12
"2004",NA,"65707","2020","March",NA,NA,NA,145
"2005",NA,"65710","2020","March",NA,NA,NA,134
"2006",NA,"65715","2020","March",NA,NA,NA,17
"2007",NA,"65717","2020","March",NA,NA,NA,145
"2008",NA,"65720","2020","March",NA,NA,NA,77
"2009",NA,"65722","2020","March",NA,NA,NA,83
"2010",NA,"65724","2020","March",NA,NA,NA,0
"2011",NA,"65727","2020","March",NA,NA,NA,0
"2012",NA,"65728","2020","March",NA,NA,NA,0
"2013",NA,"65729","2020","March",NA,NA,NA,0
"2014",NA,"65730","2020","March",NA,NA,NA,0
"2015",NA,"65731","2020","March",NA,NA,NA,0
"2016",NA,"65733","2020","March",NA,NA,NA,134
"2017",NA,"65734","2020","March",NA,NA,NA,316
"2018",NA,"65735","2020","March",NA,NA,NA,20
"2019",NA,"65740","2020","March",NA,NA,NA,272
"2020",NA,"65773","2020","March",NA,NA,NA,44
"2021",NA,"65744","2020","March",NA,NA,NA,3
"2022",NA,"65745","2020","March",NA,NA,NA,240
"2023",NA,"65752","2020","March",NA,NA,NA,31
"2024",NA,"65754","2020","March",NA,NA,NA,16
"2025",NA,"65755","2020","March",NA,NA,NA,9
"2026",NA,"65756","2020","March",NA,NA,NA,40
"2027",NA,"65760","2020","March",NA,NA,NA,11
"2028",NA,"65761","2020","March",NA,NA,NA,29
"2029",NA,"65762","2020","March",NA,NA,NA,45
"2030",NA,"65764","2020","March",NA,NA,NA,114
"2031",NA,"65809","2020","March",NA,NA,NA,729
"2032",NA,"65766","2020","March",NA,NA,NA,5
"2033",NA,"65767","2020","March",NA,NA,NA,237
"2034",NA,"65768","2020","March",NA,NA,NA,18
"2035",NA,"65771","2020","March",NA,NA,NA,51
"2036",NA,"65772","2020","March",NA,NA,NA,147
"2037",NA,"65774","2020","March",NA,NA,NA,86
"2038",NA,"65777","2020","March",NA,NA,NA,0
"2039",NA,"65778","2020","March",NA,NA,NA,6
"2040",NA,"65779","2020","March",NA,NA,NA,24
"2041",NA,"65783","2020","March",NA,NA,NA,18
"2042",NA,"65784","2020","March",NA,NA,NA,0
"2043",NA,"65787","2020","March",NA,NA,NA,49
"2044",NA,"65788","2020","March",NA,NA,NA,13
"2045",NA,"65789","2020","March",NA,NA,NA,354
"2046",NA,"65790","2020","March",NA,NA,NA,187
"2047",3,"63005","2020","September",6,1,776,895
"2048",11,"63010","2020","September",12,6,1031,2319
"2049",19,"63011","2020","September",14,3,1950,2876
"2050",27,"63012","2020","September",3,2,119,1106
"2051",42,"63016","2020","September",1,1,49,337
"2052",50,"63017","2020","September",10,3,1022,2557
"2053",58,"63019","2020","September",2,2,114,281
"2054",66,"63020","2020","September",2,2,208,1294
"2055",74,"63021","2020","September",6,5,698,4106
"2056",81,"63023","2020","September",1,NA,80,300
"2057",89,"63025","2020","September",6,2,548,1635
"2058",97,"63026","2020","September",9,6,911,3211
"2059",105,"63028","2020","September",5,3,577,1906
"2060",113,"63031","2020","September",16,10,868,3247
"2061",121,"63033","2020","September",21,16,880,2751
"2062",129,"63034","2020","September",6,4,330,1572
"2063",137,"63037","2020","September",2,2,110,127
"2064",145,"63038","2020","September",1,NA,110,635
"2065",153,"63039","2020","September",2,NA,116,103
"2066",161,"63040","2020","September",2,1,198,626
"2067",169,"63042","2020","September",8,6,632,1504
"2068",177,"63043","2020","September",6,3,534,1355
"2069",185,"63044","2020","September",5,3,274,676
"2070",193,"63045","2020","September",1,NA,102,0
"2071",207,"63049","2020","September",8,4,395,1098
"2072",215,"63050","2020","September",6,5,394,1145
"2073",223,"63051","2020","September",4,3,140,746
"2074",231,"63052","2020","September",6,4,400,2055
"2075",246,"63068","2020","September",3,2,107,610
"2076",254,"63069","2020","September",1,NA,10,983
"2077",262,"63070","2020","September",1,1,82,457
"2078",269,"63072","2020","September",1,NA,20,330
"2079",277,"63074","2020","September",3,3,190,1731
"2080",285,"63077","2020","September",5,4,345,695
"2081",293,"63080","2020","September",8,7,290,918
"2082",301,"63084","2020","September",9,5,245,1523
"2083",309,"63088","2020","September",1,NA,149,409
"2084",317,"63090","2020","September",5,4,393,1285
"2085",325,"63103","2020","September",5,3,511,363
"2086",333,"63104","2020","September",10,7,646,1471
"2087",341,"63105","2020","September",4,NA,332,864
"2088",349,"63106","2020","September",6,4,255,1053
"2089",357,"63107","2020","September",8,7,434,608
"2090",365,"63108","2020","September",9,5,418,678
"2091",373,"63109","2020","September",6,1,320,1765
"2092",381,"63110","2020","September",12,7,1326,1168
"2093",389,"63111","2020","September",5,4,194,2224
"2094",397,"63112","2020","September",14,11,505,1298
"2095",405,"63113","2020","September",12,11,706,402
"2096",413,"63114","2020","September",13,11,783,2847
"2097",421,"63115","2020","September",17,15,695,1054
"2098",429,"63116","2020","September",13,6,714,3169
"2099",444,"63118","2020","September",13,12,432,2451
"2100",452,"63119","2020","September",11,4,781,2523
"2101",460,"63120","2020","September",12,11,493,684
"2102",468,"63121","2020","September",16,14,748,1738
"2103",476,"63122","2020","September",14,3,1510,2997
"2104",484,"63123","2020","September",4,2,322,3101
"2105",492,"63124","2020","September",4,NA,351,651
"2106",500,"63125","2020","September",8,4,500,3006
"2107",508,"63126","2020","September",3,1,354,933
"2108",516,"63127","2020","September",4,3,394,160
"2109",524,"63128","2020","September",11,3,689,2019
"2110",532,"63129","2020","September",15,7,1300,2752
"2111",540,"63130","2020","September",11,7,937,1830
"2112",548,"63131","2020","September",3,1,285,1042
"2113",556,"63132","2020","September",2,2,96,974
"2114",564,"63133","2020","September",8,8,601,673
"2115",572,"63134","2020","September",9,9,337,1214
"2116",580,"63135","2020","September",11,11,519,1550
"2117",588,"63136","2020","September",38,32,1978,3200
"2118",596,"63137","2020","September",7,5,302,1835
"2119",604,"63138","2020","September",13,12,539,1524
"2120",612,"63139","2020","September",12,5,504,1776
"2121",620,"63141","2020","September",13,2,1855,1128
"2122",628,"63143","2020","September",3,1,43,548
"2123",636,"63144","2020","September",6,1,574,637
"2124",644,"63146","2020","September",5,4,592,2197
"2125",652,"63147","2020","September",11,9,545,412
"2126",660,"63301","2020","September",14,9,1098,3204
"2127",668,"63303","2020","September",12,6,1170,3101
"2128",676,"63304","2020","September",13,8,862,2502
"2129",691,"63334","2020","September",7,2,265,604
"2130",705,"63339","2020","September",1,NA,20,96
"2131",713,"63341","2020","September",1,1,123,123
"2132",721,"63343","2020","September",2,1,40,266
"2133",729,"63345","2020","September",1,1,10,93
"2134",737,"63347","2020","September",1,1,132,160
"2135",744,"63348","2020","September",1,NA,55,641
"2136",752,"63351","2020","September",1,NA,10,38
"2137",758,"63352","2020","September",2,1,30,107
"2138",766,"63353","2020","September",3,2,52,448
"2139",774,"63357","2020","September",2,NA,20,574
"2140",782,"63361","2020","September",1,1,18,346
"2141",790,"63362","2020","September",2,1,70,1032
"2142",798,"63366","2020","September",19,14,1311,3777
"2143",806,"63367","2020","September",8,5,578,2001
"2144",814,"63368","2020","September",23,10,2403,3617
"2145",822,"63376","2020","September",33,18,2263,5364
"2146",830,"63377","2020","September",1,NA,10,203
"2147",838,"63379","2020","September",8,7,455,2241
"2148",846,"63381","2020","September",1,NA,10,73
"2149",849,"63382","2020","September",2,NA,54,164
"2150",857,"63383","2020","September",6,NA,177,962
"2151",865,"63384","2020","September",1,NA,20,89
"2152",873,"63385","2020","September",16,5,1213,4044
"2153",881,"63389","2020","September",1,1,40,721
"2154",888,"63390","2020","September",2,NA,50,596
"2155",896,"63401","2020","September",15,7,667,1515
"2156",904,"63435","2020","September",2,NA,20,323
"2157",912,"63436","2020","September",1,NA,20,35
"2158",927,"63445","2020","September",9,3,100,211
"2159",935,"63448","2020","September",1,NA,10,53
"2160",943,"63452","2020","September",2,NA,58,99
"2161",951,"63456","2020","September",4,2,60,380
"2162",959,"63459","2020","September",4,3,72,239
"2163",967,"63461","2020","September",5,1,108,477
"2164",975,"63462","2020","September",2,NA,30,249
"2165",983,"63463","2020","September",1,NA,10,67
"2166",987,"63468","2020","September",2,1,35,286
"2167",995,"63469","2020","September",1,1,20,34
"2168",1002,"63472","2020","September",1,1,28,21
"2169",1010,"63501","2020","September",9,5,420,1120
"2170",1018,"63533","2020","September",1,NA,10,73
"2171",1026,"63537","2020","September",5,3,88,180
"2172",1033,"63541","2020","September",1,NA,40,44
"2173",1048,"63548","2020","September",2,1,20,67
"2174",1056,"63552","2020","September",6,3,218,432
"2175",1064,"63555","2020","September",5,2,96,219
"2176",1086,"63565","2020","September",4,2,90,305
"2177",1094,"63601","2020","September",10,9,431,1252
"2178",1102,"63624","2020","September",1,NA,20,259
"2179",1105,"63627","2020","September",3,2,147,130
"2180",1113,"63628","2020","September",3,2,128,943
"2181",1121,"63631","2020","September",1,1,10,36
"2182",1135,"63640","2020","September",15,6,809,1831
"2183",1143,"63645","2020","September",6,3,285,800
"2184",1157,"63653","2020","September",3,2,50,197
"2185",1165,"63655","2020","September",1,1,48,70
"2186",1172,"63660","2020","September",1,NA,150,358
"2187",1180,"63663","2020","September",1,1,40,112
"2188",1185,"63664","2020","September",8,6,262,614
"2189",1193,"63670","2020","September",9,4,200,965
"2190",1201,"63701","2020","September",10,4,613,2422
"2191",1209,"63703","2020","September",4,4,348,560
"2192",1217,"63730","2020","September",1,NA,20,276
"2193",1226,"63735","2020","September",1,1,28,50
"2194",1236,"63740","2020","September",2,2,70,520
"2195",1244,"63755","2020","September",9,5,233,1929
"2196",1252,"63760","2020","September",1,NA,10,22
"2197",1259,"63764","2020","September",2,NA,85,297
"2198",1267,"63769","2020","September",1,NA,20,110
"2199",1275,"63771","2020","September",1,1,42,211
"2200",1283,"63775","2020","September",17,9,538,1144
"2201",1291,"63780","2020","September",3,3,102,413
"2202",1301,"63787","2020","September",1,1,20,0
"2203",1309,"63801","2020","September",19,13,365,1765
"2204",1317,"63822","2020","September",2,2,40,116
"2205",1325,"63823","2020","September",1,1,7,120
"2206",1332,"63825","2020","September",1,1,24,225
"2207",1340,"63827","2020","September",1,NA,10,55
"2208",1353,"63830","2020","September",4,2,81,506
"2209",1360,"63834","2020","September",1,NA,80,348
"2210",1373,"63841","2020","September",7,6,170,1058
"2211",1381,"63845","2020","September",2,1,108,225
"2212",1389,"63848","2020","September",2,2,30,87
"2213",1397,"63851","2020","September",3,1,118,329
"2214",1405,"63852","2020","September",1,1,20,104
"2215",1413,"63857","2020","September",8,6,160,792
"2216",1428,"63863","2020","September",3,2,107,537
"2217",1436,"63867","2020","September",1,1,10,78
"2218",1444,"63869","2020","September",2,NA,20,208
"2219",1458,"63873","2020","September",5,1,57,354
"2220",1466,"63876","2020","September",2,1,128,210
"2221",1474,"63877","2020","September",1,NA,20,360
"2222",1482,"63878","2020","September",1,1,10,8
"2223",1490,"63901","2020","September",13,10,691,2926
"2224",1498,"63932","2020","September",1,1,30,19
"2225",1506,"63933","2020","September",1,1,15,311
"2226",1513,"63935","2020","September",5,5,50,579
"2227",1521,"63936","2020","September",1,1,10,72
"2228",1527,"63937","2020","September",1,NA,40,212
"2229",1535,"63944","2020","September",3,3,60,65
"2230",1542,"63954","2020","September",1,NA,19,29
"2231",1550,"63957","2020","September",2,2,73,302
"2232",1558,"63960","2020","September",1,NA,10,319
"2233",1566,"63961","2020","September",1,NA,10,105
"2234",1572,"63965","2020","September",1,NA,16,104
"2235",1580,"64012","2020","September",15,7,873,1882
"2236",1588,"64014","2020","September",13,5,715,2841
"2237",1596,"64015","2020","September",12,7,738,2470
"2238",1604,"64016","2020","September",2,1,67,361
"2239",1612,"64024","2020","September",4,2,338,830
"2240",1620,"64029","2020","September",7,4,561,1542
"2241",1628,"64030","2020","September",12,7,283,2040
"2242",1636,"64034","2020","September",3,3,117,552
"2243",1644,"64037","2020","September",4,2,118,235
"2244",1652,"64040","2020","September",4,1,102,366
"2245",1660,"64048","2020","September",1,1,10,317
"2246",1668,"64050","2020","September",9,7,623,1471
"2247",1676,"64052","2020","September",5,4,200,1595
"2248",1684,"64053","2020","September",1,1,60,495
"2249",1692,"64054","2020","September",1,1,45,343
"2250",1700,"64055","2020","September",15,11,1203,2389
"2251",1708,"64056","2020","September",6,5,431,1866
"2252",1716,"64057","2020","September",7,5,654,872
"2253",1724,"64058","2020","September",1,NA,10,597
"2254",1727,"64060","2020","September",6,2,493,952
"2255",1735,"64062","2020","September",2,NA,57,414
"2256",1743,"64063","2020","September",12,3,872,1612
"2257",1751,"64064","2020","September",7,4,918,1662
"2258",1759,"64067","2020","September",1,NA,24,487
"2259",1767,"64068","2020","September",17,7,1342,2699
"2260",1779,"64075","2020","September",6,5,373,967
"2261",1787,"64076","2020","September",1,1,134,708
"2262",1796,"64078","2020","September",3,2,213,629
"2263",1804,"64079","2020","September",11,5,730,1111
"2264",1812,"64080","2020","September",3,2,293,1027
"2265",1820,"64081","2020","September",7,3,932,2009
"2266",1828,"64082","2020","September",3,2,278,1547
"2267",1836,"64083","2020","September",12,5,1255,1791
"2268",1844,"64085","2020","September",5,1,98,616
"2269",1852,"64086","2020","September",7,3,448,1781
"2270",1860,"64089","2020","September",4,1,366,1349
"2271",1868,"64093","2020","September",12,7,537,1936
"2272",1874,"64096","2020","September",1,1,32,106
"2273",1888,"64098","2020","September",1,NA,10,162
"2274",1893,"64105","2020","September",1,NA,220,46
"2275",1901,"64106","2020","September",4,3,301,1100
"2276",1909,"64108","2020","September",3,1,365,514
"2277",1917,"64109","2020","September",9,8,1202,706
"2278",1925,"64110","2020","September",9,8,388,979
"2279",1933,"64111","2020","September",8,5,902,595
"2280",1940,"64112","2020","September",1,NA,67,117
"2281",1948,"64113","2020","September",5,1,390,1272
"2282",1956,"64114","2020","September",12,3,1427,1587
"2283",1964,"64116","2020","September",5,3,414,811
"2284",1972,"64117","2020","September",5,2,411,1185
"2285",1980,"64118","2020","September",14,5,975,4170
"2286",1988,"64119","2020","September",10,6,679,2375
"2287",1999,"64123","2020","September",1,1,36,889
"2288",2007,"64124","2020","September",2,2,88,1245
"2289",2022,"64127","2020","September",5,4,242,1928
"2290",2030,"64128","2020","September",12,10,300,967
"2291",2038,"64129","2020","September",3,2,96,647
"2292",2046,"64130","2020","September",13,11,1375,1458
"2293",2054,"64131","2020","September",10,8,473,2180
"2294",2062,"64132","2020","September",14,13,443,1143
"2295",2070,"64133","2020","September",9,6,348,2726
"2296",2078,"64134","2020","September",11,10,423,2614
"2297",2086,"64136","2020","September",1,1,99,74
"2298",2094,"64137","2020","September",3,2,409,1053
"2299",2102,"64138","2020","September",14,10,668,1629
"2300",2110,"64145","2020","September",1,NA,121,235
"2301",2118,"64146","2020","September",1,1,20,136
"2302",2125,"64150","2020","September",1,NA,124,425
"2303",2133,"64151","2020","September",8,4,714,1690
"2304",2141,"64152","2020","September",7,1,355,2285
"2305",2149,"64153","2020","September",2,NA,104,355
"2306",2157,"64154","2020","September",2,1,195,898
"2307",2165,"64155","2020","September",13,4,986,2145
"2308",2173,"64156","2020","September",2,1,50,450
"2309",2181,"64157","2020","September",2,2,122,1687
"2310",2189,"64158","2020","September",2,1,270,280
"2311",2197,"64161","2020","September",2,1,403,19
"2312",2205,"64402","2020","September",3,1,87,224
"2313",2213,"64424","2020","September",6,1,80,218
"2314",2221,"64429","2020","September",2,1,105,550
"2315",2229,"64439","2020","September",1,NA,78,97
"2316",2233,"64444","2020","September",1,NA,48,83
"2317",2241,"64448","2020","September",2,NA,30,42
"2318",2249,"64454","2020","September",3,1,90,191
"2319",2264,"64463","2020","September",2,2,58,102
"2320",2272,"64465","2020","September",3,1,89,153
"2321",2287,"64468","2020","September",7,2,168,780
"2322",2309,"64476","2020","September",1,NA,10,8
"2323",2332,"64485","2020","September",3,1,98,589
"2324",2340,"64489","2020","September",4,1,40,199
"2325",2348,"64501","2020","September",5,5,198,959
"2326",2356,"64503","2020","September",5,5,158,1067
"2327",2364,"64504","2020","September",1,1,10,712
"2328",2379,"64506","2020","September",7,3,406,1231
"2329",2387,"64507","2020","September",9,5,378,1445
"2330",2395,"64601","2020","September",9,5,222,658
"2331",2403,"64628","2020","September",4,1,85,404
"2332",2411,"64633","2020","September",5,1,138,360
"2333",2419,"64640","2020","September",1,NA,99,219
"2334",2427,"64644","2020","September",3,1,40,233
"2335",2435,"64648","2020","September",1,1,30,331
"2336",2444,"64658","2020","September",5,1,40,239
"2337",2452,"64659","2020","September",1,NA,10,75
"2338",2461,"64673","2020","September",1,NA,10,229
"2339",2469,"64683","2020","September",4,3,167,639
"2340",2477,"64701","2020","September",9,3,298,1135
"2341",2485,"64720","2020","September",1,NA,20,499
"2342",2493,"64724","2020","September",1,1,40,122
"2343",2501,"64725","2020","September",2,2,83,181
"2344",2512,"64730","2020","September",3,2,52,425
"2345",2520,"64735","2020","September",4,3,300,869
"2346",2529,"64742","2020","September",1,NA,10,98
"2347",2537,"64744","2020","September",5,3,96,627
"2348",2544,"64747","2020","September",1,1,30,193
"2349",2561,"64759","2020","September",9,2,174,575
"2350",2569,"64761","2020","September",1,1,60,161
"2351",2578,"64772","2020","September",12,6,250,895
"2352",2586,"64779","2020","September",1,1,20,213
"2353",2593,"64801","2020","September",20,17,914,2345
"2354",2601,"64804","2020","September",19,12,958,2930
"2355",2609,"64831","2020","September",1,1,10,564
"2356",2617,"64834","2020","September",6,2,220,870
"2357",2625,"64835","2020","September",1,1,60,172
"2358",2633,"64836","2020","September",7,1,445,1881
"2359",2641,"64840","2020","September",1,1,20,263
"2360",2653,"64844","2020","September",3,3,106,342
"2361",2661,"64850","2020","September",5,3,107,1785
"2362",2669,"64854","2020","September",2,2,50,546
"2363",2687,"64862","2020","September",3,2,104,237
"2364",2699,"64865","2020","September",4,1,40,630
"2365",2707,"64870","2020","September",11,5,443,1581
"2366",2716,"65010","2020","September",8,2,215,467
"2367",2724,"65013","2020","September",1,1,20,182
"2368",2734,"65016","2020","September",2,NA,20,81
"2369",2742,"65018","2020","September",13,6,263,493
"2370",2750,"65020","2020","September",11,5,440,906
"2371",2764,"65026","2020","September",7,2,175,806
"2372",2772,"65035","2020","September",1,NA,10,143
"2373",2780,"65037","2020","September",1,1,70,127
"2374",2787,"65039","2020","September",1,NA,10,176
"2375",2795,"65041","2020","September",5,1,88,315
"2376",2803,"65043","2020","September",8,6,282,876
"2377",2809,"65046","2020","September",1,NA,20,116
"2378",2816,"65049","2020","September",4,2,210,382
"2379",2824,"65051","2020","September",8,3,153,244
"2380",2832,"65052","2020","September",2,1,87,105
"2381",2840,"65054","2020","September",3,2,150,41
"2382",2848,"65059","2020","September",1,NA,20,55
"2383",2855,"65063","2020","September",3,2,80,226
"2384",2863,"65065","2020","September",4,3,338,371
"2385",2871,"65066","2020","September",5,2,150,348
"2386",2879,"65074","2020","September",2,NA,30,194
"2387",2887,"65075","2020","September",2,NA,20,82
"2388",2895,"65076","2020","September",2,1,30,54
"2389",2903,"65078","2020","September",1,NA,14,231
"2390",2911,"65081","2020","September",1,1,65,148
"2391",2919,"65082","2020","September",2,NA,40,108
"2392",2926,"65084","2020","September",1,1,88,874
"2393",2934,"65085","2020","September",1,1,58,156
"2394",2942,"65101","2020","September",22,16,1450,2384
"2395",2950,"65109","2020","September",22,11,1220,2721
"2396",2958,"65201","2020","September",27,12,1319,1985
"2397",2966,"65202","2020","September",34,12,937,4024
"2398",2974,"65203","2020","September",47,18,2156,4577
"2399",2982,"65231","2020","September",3,NA,30,149
"2400",2990,"65233","2020","September",11,7,264,889
"2401",2998,"65236","2020","September",1,NA,20,89
"2402",3006,"65239","2020","September",1,1,10,63
"2403",3012,"65240","2020","September",7,1,124,960
"2404",3020,"65248","2020","September",8,2,96,316
"2405",3028,"65251","2020","September",10,6,369,1198
"2406",3036,"65254","2020","September",2,1,30,195
"2407",3044,"65255","2020","September",7,2,186,482
"2408",3052,"65256","2020","September",2,1,80,111
"2409",3061,"65259","2020","September",2,2,30,180
"2410",3069,"65261","2020","September",1,NA,10,161
"2411",3076,"65262","2020","September",1,1,63,178
"2412",3084,"65265","2020","September",15,4,277,1142
"2413",3092,"65270","2020","September",9,8,327,1311
"2414",3100,"65275","2020","September",4,3,114,102
"2415",3108,"65281","2020","September",5,3,78,195
"2416",3116,"65284","2020","September",1,1,43,95
"2417",3124,"65301","2020","September",19,13,907,2912
"2418",3132,"65323","2020","September",1,1,90,59
"2419",3138,"65325","2020","September",1,NA,10,131
"2420",3160,"65336","2020","September",7,NA,317,540
"2421",3175,"65338","2020","September",1,1,40,189
"2422",3184,"65340","2020","September",6,2,100,1033
"2423",3202,"65355","2020","September",3,3,131,613
"2424",3210,"65360","2020","September",2,2,48,419
"2425",3218,"65401","2020","September",14,9,734,1921
"2426",3226,"65441","2020","September",1,NA,10,616
"2427",3234,"65452","2020","September",1,1,40,159
"2428",3242,"65453","2020","September",4,3,213,427
"2429",3250,"65459","2020","September",3,NA,40,433
"2430",3258,"65483","2020","September",4,2,149,192
"2431",3266,"65486","2020","September",3,1,79,224
"2432",3274,"65536","2020","September",15,12,567,2622
"2433",3282,"65542","2020","September",3,NA,50,425
"2434",3290,"65548","2020","September",2,1,60,413
"2435",3298,"65556","2020","September",1,NA,26,417
"2436",3306,"65559","2020","September",2,NA,33,801
"2437",3314,"65560","2020","September",3,3,30,959
"2438",3322,"65565","2020","September",3,3,74,291
"2439",3336,"65570","2020","September",1,NA,20,21
"2440",3344,"65571","2020","September",1,1,48,23
"2441",3351,"65582","2020","September",3,1,40,148
"2442",3359,"65583","2020","September",7,5,485,1191
"2443",3367,"65584","2020","September",5,2,189,924
"2444",3375,"65588","2020","September",1,NA,100,74
"2445",3384,"65605","2020","September",5,4,60,878
"2446",3392,"65606","2020","September",3,2,60,112
"2447",3400,"65608","2020","September",2,1,94,664
"2448",3407,"65609","2020","September",1,NA,19,42
"2449",3424,"65613","2020","September",7,7,311,1216
"2450",3431,"65614","2020","September",1,NA,19,58
"2451",3436,"65616","2020","September",12,8,487,2061
"2452",3444,"65617","2020","September",1,1,45,28
"2453",3452,"65619","2020","September",2,1,142,709
"2454",3460,"65622","2020","September",6,5,228,482
"2455",3468,"65625","2020","September",3,3,79,789
"2456",3483,"65631","2020","September",4,4,148,575
"2457",3491,"65632","2020","September",1,NA,10,311
"2458",3499,"65633","2020","September",2,1,30,383
"2459",3506,"65646","2020","September",1,1,20,54
"2460",3516,"65648","2020","September",2,2,130,389
"2461",3526,"65653","2020","September",3,1,40,221
"2462",3534,"65655","2020","September",1,1,20,39
"2463",3549,"65662","2020","September",1,NA,20,60
"2464",3557,"65667","2020","September",2,NA,50,275
"2465",3561,"65668","2020","September",3,2,55,38
"2466",3569,"65672","2020","September",1,1,28,599
"2467",3577,"65679","2020","September",1,NA,10,167
"2468",3587,"65681","2020","September",1,NA,10,61
"2469",3592,"65686","2020","September",1,NA,30,110
"2470",3600,"65689","2020","September",1,1,83,471
"2471",3608,"65704","2020","September",4,2,120,265
"2472",3618,"65706","2020","September",6,4,389,1408
