"","...1","zcta","year","month","childcare_programs","programs_accepting_subsidies","licensed_capacity","pop_5_and_under"
"120",933,"63448","2019","November",1,NA,10,53
"121",941,"63452","2019","November",2,NA,58,99
"122",949,"63456","2019","November",6,2,80,380
"123",957,"63459","2019","November",5,3,92,239
"124",965,"63461","2019","November",6,NA,143,477
"125",973,"63462","2019","November",1,NA,10,249
"126",981,"63463","2019","November",1,1,20,67
"127",985,"63468","2019","November",2,1,55,286
"128",993,"63469","2019","November",1,1,20,34
"129",1001,"63472","2019","November",1,NA,28,21
"130",1008,"63501","2019","November",11,1,462,1120
"131",1016,"63533","2019","November",1,NA,10,73
"132",1024,"63537","2019","November",5,2,88,180
"133",1032,"63541","2019","November",1,NA,40,44
"134",1039,"63545","2019","November",1,NA,20,105
"135",1046,"63548","2019","November",2,1,20,67
"136",1054,"63552","2019","November",7,NA,234,432
"137",1062,"63555","2019","November",5,NA,96,219
"138",1070,"63556","2019","November",3,NA,60,267
"139",1077,"63559","2019","November",1,NA,20,244
"140",1084,"63565","2019","November",5,2,110,305
"141",1092,"63601","2019","November",13,4,501,1252
"142",1100,"63624","2019","November",1,1,20,259
"143",1103,"63627","2019","November",4,1,167,130
"144",1111,"63628","2019","November",6,2,233,943
"145",1119,"63631","2019","November",2,2,20,36
"146",1127,"63638","2019","November",2,NA,28,152
"147",1133,"63640","2019","November",17,NA,843,1831
"148",1141,"63645","2019","November",6,1,320,800
"149",1149,"63650","2019","November",1,NA,40,202
"150",1155,"63653","2019","November",3,3,50,197
"151",1163,"63655","2019","November",1,NA,48,70
"152",1171,"63660","2019","November",1,NA,150,358
"153",1178,"63663","2019","November",1,NA,40,112
"154",1183,"63664","2019","November",8,4,262,614
"155",1191,"63670","2019","November",11,3,260,965
"156",1199,"63701","2019","November",14,1,1005,2422
"157",1207,"63703","2019","November",6,4,368,560
"158",1215,"63730","2019","November",2,1,50,276
"159",1223,"63732","2019","November",1,NA,32,80
"160",1224,"63735","2019","November",2,NA,88,50
"161",1232,"63736","2019","November",1,NA,20,250
"162",1234,"63740","2019","November",4,2,196,520
"163",1242,"63755","2019","November",11,2,336,1929
"164",1250,"63760","2019","November",1,NA,10,22
"165",1257,"63764","2019","November",3,NA,95,297
"166",1265,"63769","2019","November",1,NA,20,110
"167",1273,"63771","2019","November",1,NA,42,211
"168",1281,"63775","2019","November",17,5,546,1144
"169",1289,"63780","2019","November",4,1,119,413
"170",1297,"63781","2019","November",1,1,10,140
"171",1299,"63787","2019","November",3,1,40,0
