"","zcta","year","month","childcare_programs","programs_accepting_subsidies","licensed_capacity","pop_5_and_under"
"2106","64138",2022,"September",15,8,1098,1629
"2107","64138",2023,"March",14,7,1088,1629
"2108","64145",2019,"November",2,NA,281,235
"2109","64145",2020,"March",2,NA,281,235
"2110","64145",2020,"September",1,NA,121,235
"2111","64145",2021,"March",2,NA,281,235
"2112","64145",2021,"September",2,NA,281,235
"2113","64145",2022,"March",2,NA,281,235
"2114","64145",2022,"September",2,NA,281,235
"2115","64145",2023,"March",2,NA,281,235
"2116","64146",2019,"November",1,1,20,136
"2117","64146",2020,"March",1,1,20,136
"2118","64146",2020,"September",1,1,20,136
"2119","64146",2021,"March",1,1,20,136
"2120","64146",2021,"September",1,NA,20,136
"2121","64149",2022,"September",1,NA,100,59
"2122","64149",2023,"March",1,NA,100,59
"2123","64150",2019,"November",1,NA,124,425
"2124","64150",2020,"March",1,NA,124,425
"2125","64150",2020,"September",1,NA,124,425
"2126","64150",2021,"March",1,NA,124,425
"2127","64150",2021,"September",1,NA,124,425
"2128","64150",2022,"March",1,NA,124,425
"2129","64150",2022,"September",1,NA,124,425
"2130","64150",2023,"March",1,NA,124,425
"2131","64151",2019,"November",7,1,708,1690
"2132","64151",2020,"March",6,4,609,1690
"2133","64151",2020,"September",8,4,714,1690
"2134","64151",2021,"March",8,4,714,1690
"2135","64151",2021,"September",9,5,809,1690
"2136","64151",2022,"March",8,5,803,1690
"2137","64151",2022,"September",7,4,768,1690
"2138","64151",2023,"March",7,4,768,1690
"2139","64152",2019,"November",6,NA,263,2285
"2140","64152",2020,"March",5,1,235,2285
"2141","64152",2020,"September",7,1,355,2285
"2142","64152",2021,"March",7,1,269,2285
"2143","64152",2021,"September",7,1,269,2285
"2144","64152",2022,"March",7,1,269,2285
"2145","64152",2022,"September",6,1,254,2285
"2146","64152",2023,"March",6,1,254,2285
"2147","64153",2019,"November",3,NA,114,355
"2148","64153",2020,"March",2,NA,104,355
"2149","64153",2020,"September",2,NA,104,355
"2150","64153",2021,"March",2,NA,104,355
"2151","64153",2021,"September",2,NA,104,355
"2152","64153",2022,"March",3,1,104,355
"2153","64153",2022,"September",3,NA,104,355
"2154","64153",2023,"March",3,NA,174,355
"2155","64154",2019,"November",3,NA,235,898
"2156","64154",2020,"March",2,1,195,898
"2157","64154",2020,"September",2,1,195,898
"2158","64154",2021,"March",3,1,235,898
"2159","64154",2021,"September",3,1,235,898
"2160","64154",2022,"March",3,1,235,898
"2161","64154",2022,"September",3,1,255,898
"2162","64154",2023,"March",3,1,255,898
"2163","64155",2019,"November",15,1,1072,2145
"2164","64155",2020,"March",16,5,1114,2145
"2165","64155",2020,"September",13,4,986,2145
"2166","64155",2021,"March",14,5,1113,2145
"2167","64155",2021,"September",13,3,1018,2145
"2168","64155",2022,"March",13,3,1018,2145
"2169","64155",2022,"September",13,3,1018,2145
"2170","64155",2023,"March",14,3,1020,2145
"2171","64156",2019,"November",3,NA,60,450
"2172","64156",2020,"March",3,NA,60,450
"2173","64156",2020,"September",2,1,50,450
"2174","64156",2021,"March",3,1,60,450
"2175","64156",2021,"September",2,1,50,450
"2176","64156",2022,"March",2,1,50,450
"2177","64156",2022,"September",2,2,50,450
"2178","64156",2023,"March",2,2,80,450
"2179","64157",2019,"November",2,1,122,1687
"2180","64157",2020,"March",2,2,122,1687
"2181","64157",2020,"September",2,2,122,1687
"2182","64157",2021,"March",2,2,122,1687
"2183","64157",2021,"September",2,1,122,1687
"2184","64157",2022,"March",2,1,122,1687
"2185","64157",2022,"September",2,1,266,1687
"2186","64157",2023,"March",2,1,266,1687
"2187","64158",2019,"November",2,NA,270,280
"2188","64158",2020,"March",2,1,270,280
"2189","64158",2020,"September",2,1,270,280
"2190","64158",2021,"March",4,1,418,280
"2191","64158",2021,"September",4,1,426,280
"2192","64158",2022,"March",4,1,426,280
"2193","64158",2022,"September",4,1,440,280
"2194","64158",2023,"March",4,1,520,280
"2195","64161",2019,"November",2,NA,538,19
"2196","64161",2020,"March",2,1,538,19
"2197","64161",2020,"September",2,1,403,19
"2198","64161",2021,"March",2,1,403,19
"2199","64161",2021,"September",2,1,403,19
"2200","64161",2022,"March",1,1,304,19
"2201","64161",2022,"September",1,1,304,19
"2202","64161",2023,"March",1,1,304,19
"2203","64402",2019,"November",4,NA,107,224
"2204","64402",2020,"March",3,NA,40,224
"2205","64402",2020,"September",3,1,87,224
"2206","64402",2021,"March",4,1,107,224
"2207","64402",2021,"September",3,1,97,224
"2208","64402",2022,"March",3,1,97,224
"2209","64402",2022,"September",3,1,97,224
"2210","64402",2023,"March",3,1,97,224
"2211","64424",2019,"November",6,1,80,218
"2212","64424",2020,"March",4,1,50,218
"2213","64424",2020,"September",6,1,80,218
"2214","64424",2021,"March",4,1,60,218
"2215","64424",2021,"September",4,1,60,218
"2216","64424",2022,"March",4,1,60,218
"2217","64424",2022,"September",3,NA,50,218
"2218","64424",2023,"March",3,NA,50,218
"2219","64429",2019,"November",4,NA,134,550
"2220","64429",2020,"March",3,1,94,550
"2221","64429",2020,"September",2,1,105,550
"2222","64429",2021,"March",4,1,150,550
"2223","64429",2021,"September",4,1,150,550
"2224","64429",2022,"March",4,1,150,550
"2225","64429",2022,"September",4,1,150,550
"2226","64429",2023,"March",4,1,150,550
"2227","64439",2019,"November",1,NA,78,97
"2228","64439",2020,"March",1,NA,78,97
"2229","64439",2020,"September",1,NA,78,97
"2230","64439",2021,"March",1,NA,78,97
"2231","64444",2019,"November",1,NA,48,83
"2232","64444",2020,"March",1,NA,48,83
"2233","64444",2020,"September",1,NA,48,83
"2234","64444",2021,"March",1,NA,48,83
"2235","64444",2021,"September",1,NA,48,83
"2236","64444",2022,"March",1,NA,48,83
"2237","64444",2022,"September",1,NA,48,83
"2238","64444",2023,"March",1,NA,48,83
"2239","64448",2019,"November",2,NA,30,42
"2240","64448",2020,"March",2,NA,30,42
"2241","64448",2020,"September",2,NA,30,42
"2242","64448",2021,"March",2,NA,30,42
"2243","64448",2021,"September",2,NA,30,42
"2244","64448",2022,"March",2,NA,30,42
"2245","64448",2022,"September",2,NA,30,42
"2246","64448",2023,"March",2,NA,30,42
"2247","64454",2019,"November",3,2,90,191
"2248","64454",2020,"March",2,2,70,191
"2249","64454",2020,"September",3,1,90,191
"2250","64454",2021,"March",3,2,90,191
"2251","64454",2021,"September",2,1,30,191
"2252","64454",2022,"March",2,1,30,191
"2253","64454",2022,"September",3,2,114,191
"2254","64454",2023,"March",3,2,114,191
"2255","64456",2019,"November",1,NA,20,95
"2256","64456",2020,"March",1,NA,20,95
"2257","64456",2021,"March",1,NA,20,95
"2258","64456",2021,"September",1,NA,20,95
"2259","64456",2022,"March",1,NA,20,95
"2260","64456",2022,"September",1,NA,20,95
"2261","64456",2023,"March",1,NA,20,95
"2262","64463",2019,"November",2,2,58,102
"2263","64463",2020,"March",2,2,58,102
"2264","64463",2020,"September",2,2,58,102
"2265","64463",2021,"March",2,2,58,102
"2266","64463",2021,"September",2,NA,58,102
"2267","64463",2022,"March",2,1,58,102
"2268","64463",2022,"September",2,1,58,102
"2269","64463",2023,"March",2,1,58,102
"2270","64465",2019,"November",3,1,30,153
"2271","64465",2020,"March",3,1,30,153
"2272","64465",2020,"September",3,1,89,153
"2273","64465",2021,"March",3,2,89,153
"2274","64465",2021,"September",3,2,89,153
"2275","64465",2022,"March",3,2,89,153
"2276","64465",2022,"September",3,2,89,153
"2277","64465",2023,"March",2,1,79,153
"2278","64466",2019,"November",1,NA,20,15
"2279","64466",2020,"March",1,NA,20,15
"2280","64466",2021,"March",1,NA,20,15
"2281","64466",2021,"September",1,NA,20,15
"2282","64466",2022,"March",1,NA,20,15
"2283","64466",2022,"September",1,NA,20,15
"2284","64466",2023,"March",1,NA,20,15
"2285","64468",2019,"November",10,2,540,780
"2286","64468",2020,"March",9,4,462,780
"2287","64468",2020,"September",7,2,168,780
"2288","64468",2021,"March",8,3,378,780
"2289","64468",2021,"September",8,4,368,780
"2290","64468",2022,"March",7,4,358,780
"2291","64468",2022,"September",7,4,358,780
"2292","64468",2023,"March",7,3,358,780
"2293","64469",2019,"November",1,NA,20,133
"2294","64469",2020,"March",1,NA,20,133
"2295","64469",2021,"March",1,NA,20,133
"2296","64469",2021,"September",1,NA,20,133
"2297","64469",2022,"March",1,NA,20,133
"2298","64469",2022,"September",1,NA,20,133
"2299","64469",2023,"March",1,NA,20,133
"2300","64470",2019,"November",1,NA,20,114
"2301","64470",2020,"March",1,NA,20,114
"2302","64470",2021,"March",1,NA,20,114
"2303","64470",2021,"September",1,NA,20,114
"2304","64470",2022,"March",1,NA,20,114
"2305","64470",2022,"September",1,NA,20,114
"2306","64470",2023,"March",1,NA,20,114
"2307","64476",2019,"November",1,NA,10,8
"2308","64476",2020,"March",1,NA,10,8
"2309","64476",2020,"September",1,NA,10,8
"2310","64476",2021,"March",1,NA,20,8
"2311","64476",2021,"September",1,NA,20,8
"2312","64476",2022,"March",1,NA,20,8
"2313","64476",2022,"September",1,NA,20,8
"2314","64476",2023,"March",1,NA,20,8
"2315","64477",2019,"November",3,NA,50,225
"2316","64477",2020,"March",2,NA,30,225
"2317","64477",2021,"March",3,NA,50,225
"2318","64477",2021,"September",3,NA,50,225
"2319","64477",2022,"March",2,NA,40,225
"2320","64477",2022,"September",2,NA,40,225
"2321","64477",2023,"March",2,NA,40,225
"2322","64482",2019,"November",3,NA,90,163
"2323","64482",2020,"March",1,NA,40,163
"2324","64482",2021,"March",1,NA,40,163
"2325","64482",2021,"September",1,NA,40,163
"2326","64482",2022,"March",1,NA,40,163
"2327","64482",2022,"September",1,NA,40,163
"2328","64482",2023,"March",1,NA,40,163
"2329","64484",2019,"November",1,NA,0,75
"2330","64485",2019,"November",5,NA,288,589
"2331","64485",2020,"March",4,1,248,589
"2332","64485",2020,"September",3,1,98,589
"2333","64485",2021,"March",5,1,288,589
"2334","64485",2021,"September",4,1,138,589
"2335","64485",2022,"March",6,1,250,589
"2336","64485",2022,"September",6,1,250,589
"2337","64485",2023,"March",5,1,218,589
"2338","64489",2019,"November",4,NA,50,199
"2339","64489",2020,"March",5,1,60,199
"2340","64489",2020,"September",4,1,40,199
"2341","64489",2021,"March",4,1,50,199
"2342","64489",2021,"September",4,1,50,199
"2343","64489",2022,"March",2,NA,30,199
"2344","64489",2022,"September",2,NA,30,199
"2345","64489",2023,"March",2,NA,30,199
"2346","64501",2019,"November",8,NA,314,959
"2347","64501",2020,"March",6,5,247,959
"2348","64501",2020,"September",5,5,198,959
"2349","64501",2021,"March",6,5,245,959
"2350","64501",2021,"September",7,5,337,959
"2351","64501",2022,"March",7,5,337,959
"2352","64501",2022,"September",6,4,286,959
"2353","64501",2023,"March",6,4,286,959
"2354","64503",2019,"November",9,5,235,1067
"2355","64503",2020,"March",7,6,238,1067
"2356","64503",2020,"September",5,5,158,1067
"2357","64503",2021,"March",7,6,285,1067
"2358","64503",2021,"September",7,6,285,1067
"2359","64503",2022,"March",7,6,285,1067
"2360","64503",2022,"September",6,5,199,1067
"2361","64503",2023,"March",6,5,199,1067
"2362","64504",2019,"November",3,1,50,712
"2363","64504",2020,"March",1,1,10,712
"2364","64504",2020,"September",1,1,10,712
"2365","64504",2021,"March",3,2,50,712
"2366","64504",2021,"September",3,1,50,712
"2367","64504",2022,"March",3,1,50,712
"2368","64504",2022,"September",3,1,50,712
"2369","64504",2023,"March",3,2,50,712
"2370","64505",2019,"November",5,NA,249,929
"2371","64505",2020,"March",1,NA,99,929
"2372","64505",2021,"March",4,2,229,929
"2373","64505",2021,"September",3,1,110,929
"2374","64505",2022,"March",3,1,130,929
"2375","64505",2022,"September",3,1,130,929
"2376","64505",2023,"March",5,2,172,929
"2377","64506",2019,"November",10,1,459,1231
"2378","64506",2020,"March",8,3,409,1231
"2379","64506",2020,"September",7,3,406,1231
"2380","64506",2021,"March",8,4,430,1231
"2381","64506",2021,"September",7,4,411,1231
"2382","64506",2022,"March",7,4,411,1231
"2383","64506",2022,"September",7,4,411,1231
"2384","64506",2023,"March",7,5,411,1231
"2385","64507",2019,"November",10,2,418,1445
"2386","64507",2020,"March",7,5,309,1445
"2387","64507",2020,"September",9,5,378,1445
"2388","64507",2021,"March",9,6,369,1445
"2389","64507",2021,"September",10,5,418,1445
"2390","64507",2022,"March",9,5,408,1445
"2391","64507",2022,"September",9,5,415,1445
"2392","64507",2023,"March",9,6,415,1445
"2393","64601",2019,"November",15,8,422,658
"2394","64601",2020,"March",11,6,224,658
"2395","64601",2020,"September",9,5,222,658
"2396","64601",2021,"March",12,6,401,658
"2397","64601",2021,"September",12,6,401,658
"2398","64601",2022,"March",13,6,411,658
"2399","64601",2022,"September",12,5,401,658
"2400","64601",2023,"March",13,6,441,658
"2401","64628",2019,"November",6,NA,125,404
"2402","64628",2020,"March",4,1,85,404
"2403","64628",2020,"September",4,1,85,404
"2404","64628",2021,"March",6,1,125,404
"2405","64628",2021,"September",5,1,115,404
"2406","64628",2022,"March",5,1,115,404
"2407","64628",2022,"September",5,1,115,404
"2408","64628",2023,"March",5,1,115,404
"2409","64633",2019,"November",7,NA,194,360
"2410","64633",2020,"March",6,2,180,360
"2411","64633",2020,"September",5,1,138,360
"2412","64633",2021,"March",7,2,219,360
"2413","64633",2021,"September",7,2,219,360
"2414","64633",2022,"March",7,2,219,360
"2415","64633",2022,"September",7,2,219,360
"2416","64633",2023,"March",7,2,219,360
"2417","64640",2019,"November",1,1,99,219
"2418","64640",2020,"March",1,1,99,219
"2419","64640",2020,"September",1,NA,99,219
"2420","64640",2021,"March",1,NA,99,219
"2421","64640",2021,"September",1,NA,99,219
"2422","64640",2022,"March",1,NA,99,219
"2423","64640",2022,"September",1,NA,99,219
"2424","64640",2023,"March",1,NA,99,219
"2425","64644",2019,"November",4,1,50,233
"2426","64644",2020,"March",3,1,40,233
"2427","64644",2020,"September",3,1,40,233
"2428","64644",2021,"March",4,1,60,233
"2429","64644",2021,"September",4,1,80,233
"2430","64644",2022,"March",4,1,80,233
"2431","64644",2022,"September",4,1,80,233
"2432","64644",2023,"March",4,1,80,233
"2433","64648",2019,"November",1,NA,30,331
"2434","64648",2020,"March",1,1,30,331
"2435","64648",2020,"September",1,1,30,331
"2436","64648",2021,"March",1,1,30,331
"2437","64648",2021,"September",1,1,30,331
"2438","64648",2022,"March",1,1,30,331
"2439","64648",2022,"September",1,1,30,331
"2440","64648",2023,"March",1,1,30,331
"2441","64650",2019,"November",1,NA,0,27
"2442","64658",2019,"November",5,NA,40,239
"2443","64658",2020,"March",3,1,30,239
"2444","64658",2020,"September",5,1,40,239
"2445","64658",2021,"March",4,2,30,239
"2446","64658",2021,"September",4,1,30,239
"2447","64658",2022,"March",3,1,20,239
"2448","64658",2022,"September",3,1,20,239
"2449","64658",2023,"March",3,1,20,239
"2450","64659",2019,"November",1,1,10,75
"2451","64659",2020,"March",1,NA,10,75
"2452","64659",2020,"September",1,NA,10,75
"2453","64659",2021,"March",1,NA,10,75
"2454","64659",2021,"September",1,NA,10,75
"2455","64659",2022,"March",1,NA,10,75
"2456","64659",2022,"September",1,NA,10,75
"2457","64659",2023,"March",1,NA,10,75
"2458","64671",2019,"November",1,NA,15,198
"2459","64673",2019,"November",1,NA,10,229
"2460","64673",2020,"March",1,NA,10,229
"2461","64673",2020,"September",1,NA,10,229
"2462","64673",2021,"March",1,NA,10,229
"2463","64673",2021,"September",1,NA,10,229
"2464","64673",2022,"March",1,NA,10,229
"2465","64673",2022,"September",1,NA,10,229
"2466","64673",2023,"March",1,NA,10,229
"2467","64683",2019,"November",6,2,197,639
"2468","64683",2020,"March",4,3,107,639
"2469","64683",2020,"September",4,3,167,639
"2470","64683",2021,"March",4,2,167,639
"2471","64683",2021,"September",5,3,187,639
"2472","64683",2022,"March",4,3,117,639
"2473","64683",2022,"September",4,2,117,639
"2474","64683",2023,"March",4,2,117,639
"2475","64701",2019,"November",10,4,386,1135
"2476","64701",2020,"March",9,5,333,1135
"2477","64701",2020,"September",9,3,298,1135
"2478","64701",2021,"March",7,3,256,1135
"2479","64701",2021,"September",9,3,316,1135
"2480","64701",2022,"March",9,2,316,1135
"2481","64701",2022,"September",8,3,306,1135
"2482","64701",2023,"March",8,3,322,1135
"2483","64720",2019,"November",2,NA,40,499
"2484","64720",2020,"March",1,NA,20,499
"2485","64720",2020,"September",1,NA,20,499
"2486","64720",2021,"March",2,NA,40,499
"2487","64720",2021,"September",2,NA,40,499
"2488","64720",2022,"March",3,1,80,499
"2489","64720",2022,"September",3,1,80,499
"2490","64720",2023,"March",3,1,80,499
"2491","64724",2019,"November",3,NA,75,122
"2492","64724",2020,"March",3,2,75,122
"2493","64724",2020,"September",1,1,40,122
"2494","64724",2021,"March",2,1,60,122
"2495","64724",2021,"September",2,1,60,122
"2496","64724",2022,"March",2,1,60,122
"2497","64724",2022,"September",2,1,60,122
"2498","64724",2023,"March",2,1,60,122
"2499","64725",2019,"November",3,1,103,181
"2500","64725",2020,"March",3,2,103,181
"2501","64725",2020,"September",2,2,83,181
"2502","64725",2021,"March",3,2,103,181
"2503","64725",2021,"September",2,1,58,181
"2504","64725",2022,"March",2,1,58,181
"2505","64725",2022,"September",3,1,94,181
"2506","64725",2023,"March",2,NA,56,181
"2507","64728",2019,"November",1,NA,50,27
"2508","64728",2021,"March",1,NA,50,27
"2509","64728",2021,"September",1,NA,50,27
"2510","64730",2019,"November",5,2,72,425
"2511","64730",2020,"March",5,3,72,425
"2512","64730",2020,"September",3,2,52,425
"2513","64730",2021,"March",4,2,62,425
"2514","64730",2021,"September",3,2,52,425
"2515","64730",2022,"March",3,2,52,425
"2516","64730",2022,"September",3,2,52,425
"2517","64730",2023,"March",3,2,52,425
"2518","64735",2019,"November",6,1,388,869
"2519","64735",2020,"March",5,4,356,869
"2520","64735",2020,"September",4,3,300,869
"2521","64735",2021,"March",6,4,408,869
"2522","64735",2021,"September",6,4,408,869
"2523","64735",2022,"March",6,4,408,869
"2524","64735",2022,"September",6,4,408,869
"2525","64735",2023,"March",5,4,356,869
"2526","64740",2019,"November",1,NA,20,61
"2527","64740",2020,"March",1,1,20,61
"2528","64742",2019,"November",1,NA,10,98
"2529","64742",2020,"September",1,NA,10,98
"2530","64742",2021,"March",1,NA,10,98
"2531","64742",2021,"September",1,NA,20,98
"2532","64742",2022,"March",1,NA,20,98
"2533","64742",2022,"September",1,NA,20,98
"2534","64742",2023,"March",1,NA,20,98
"2535","64744",2019,"November",6,1,124,627
"2536","64744",2020,"March",6,3,124,627
"2537","64744",2020,"September",5,3,96,627
"2538","64744",2021,"March",5,2,114,627
"2539","64744",2021,"September",5,2,114,627
"2540","64744",2022,"March",5,2,114,627
"2541","64744",2022,"September",5,2,114,627
"2542","64744",2023,"March",4,2,86,627
"2543","64747",2020,"March",1,1,30,193
"2544","64747",2020,"September",1,1,30,193
"2545","64747",2021,"March",1,1,30,193
"2546","64747",2021,"September",1,1,30,193
"2547","64747",2022,"March",1,1,30,193
"2548","64747",2022,"September",1,1,30,193
"2549","64752",2019,"November",1,NA,20,74
"2550","64752",2021,"March",1,1,20,74
"2551","64752",2021,"September",1,NA,20,74
"2552","64752",2022,"March",1,NA,20,74
"2553","64752",2022,"September",1,NA,20,74
"2554","64752",2023,"March",1,NA,20,74
"2555","64755",2021,"September",1,NA,20,289
"2556","64755",2022,"March",1,NA,20,289
"2557","64755",2022,"September",1,1,45,289
"2558","64755",2023,"March",1,1,45,289
"2559","64759",2019,"November",11,5,248,575
"2560","64759",2020,"March",8,3,154,575
"2561","64759",2020,"September",9,2,174,575
"2562","64759",2021,"March",9,2,184,575
"2563","64759",2021,"September",10,2,204,575
"2564","64759",2022,"March",10,2,204,575
"2565","64759",2022,"September",9,2,196,575
"2566","64759",2023,"March",8,2,180,575
"2567","64761",2019,"November",2,NA,100,161
"2568","64761",2020,"March",1,1,60,161
"2569","64761",2020,"September",1,1,60,161
"2570","64761",2021,"March",2,2,100,161
"2571","64761",2021,"September",2,2,100,161
"2572","64761",2022,"March",2,2,100,161
"2573","64761",2022,"September",2,2,96,161
"2574","64761",2023,"March",2,2,96,161
"2575","64762",2019,"November",1,NA,15,166
"2576","64772",2019,"November",19,7,379,895
"2577","64772",2020,"March",16,8,282,895
"2578","64772",2020,"September",12,6,250,895
"2579","64772",2021,"March",15,6,357,895
"2580","64772",2021,"September",15,5,365,895
"2581","64772",2022,"March",13,4,345,895
"2582","64772",2022,"September",12,4,335,895
"2583","64772",2023,"March",12,4,318,895
"2584","64779",2019,"November",1,1,20,213
"2585","64779",2020,"March",1,1,20,213
"2586","64779",2020,"September",1,1,20,213
"2587","64779",2021,"March",1,1,20,213
"2588","64779",2021,"September",1,NA,20,213
"2589","64784",2019,"November",1,NA,10,141
"2590","64784",2020,"March",1,1,10,141
"2591","64801",2019,"November",23,6,1186,2345
"2592","64801",2020,"March",22,17,1090,2345
"2593","64801",2020,"September",20,17,914,2345
"2594","64801",2021,"March",21,17,1144,2345
"2595","64801",2021,"September",18,14,927,2345
"2596","64801",2022,"March",19,15,1005,2345
"2597","64801",2022,"September",13,9,681,2345
"2598","64801",2023,"March",12,8,647,2345
"2599","64804",2019,"November",19,3,1083,2930
"2600","64804",2020,"March",19,13,1083,2930
"2601","64804",2020,"September",19,12,958,2930
"2602","64804",2021,"March",20,12,1117,2930
"2603","64804",2021,"September",22,13,1277,2930
"2604","64804",2022,"March",22,13,1277,2930
"2605","64804",2022,"September",22,14,1277,2930
"2606","64804",2023,"March",22,14,1257,2930
"2607","64831",2019,"November",3,1,72,564
"2608","64831",2020,"March",3,1,72,564
"2609","64831",2020,"September",1,1,10,564
"2610","64831",2021,"March",4,1,92,564
"2611","64831",2021,"September",4,1,92,564
"2612","64831",2022,"March",4,1,92,564
"2613","64831",2022,"September",4,1,92,564
"2614","64831",2023,"March",4,1,92,564
"2615","64834",2019,"November",7,2,238,870
"2616","64834",2020,"March",7,3,238,870
"2617","64834",2020,"September",6,2,220,870
"2618","64834",2021,"March",6,2,228,870
"2619","64834",2021,"September",6,2,228,870
"2620","64834",2022,"March",7,2,278,870
"2621","64834",2022,"September",6,2,268,870
"2622","64834",2023,"March",6,2,268,870
"2623","64835",2019,"November",1,NA,60,172
"2624","64835",2020,"March",1,1,60,172
"2625","64835",2020,"September",1,1,60,172
"2626","64835",2021,"March",1,1,60,172
"2627","64835",2021,"September",1,1,60,172
"2628","64835",2022,"March",1,1,60,172
"2629","64835",2022,"September",1,1,60,172
"2630","64835",2023,"March",1,1,32,172
"2631","64836",2019,"November",8,2,434,1881
"2632","64836",2020,"March",7,3,414,1881
"2633","64836",2020,"September",7,1,445,1881
"2634","64836",2021,"March",7,NA,350,1881
"2635","64836",2021,"September",8,3,475,1881
"2636","64836",2022,"March",7,2,360,1881
"2637","64836",2022,"September",7,2,360,1881
"2638","64836",2023,"March",7,2,360,1881
"2639","64840",2019,"November",1,1,20,263
"2640","64840",2020,"March",1,1,20,263
"2641","64840",2020,"September",1,1,20,263
"2642","64840",2021,"March",1,1,20,263
"2643","64840",2021,"September",1,1,20,263
"2644","64840",2022,"March",1,1,20,263
"2645","64840",2022,"September",1,1,20,263
"2646","64840",2023,"March",1,1,20,263
"2647","64843",2019,"November",1,NA,20,234
"2648","64843",2021,"March",1,NA,10,234
"2649","64843",2021,"September",1,1,10,234
"2650","64843",2022,"March",1,1,10,234
"2651","64844",2019,"November",5,1,152,342
"2652","64844",2020,"March",5,3,152,342
"2653","64844",2020,"September",3,3,106,342
"2654","64844",2021,"March",3,2,82,342
"2655","64844",2021,"September",3,2,82,342
"2656","64844",2022,"March",3,2,82,342
"2657","64844",2022,"September",3,2,82,342
"2658","64844",2023,"March",3,2,82,342
"2659","64850",2019,"November",11,5,427,1785
"2660","64850",2020,"March",5,3,120,1785
"2661","64850",2020,"September",5,3,107,1785
"2662","64850",2021,"March",12,8,416,1785
"2663","64850",2021,"September",13,6,465,1785
"2664","64850",2022,"March",11,5,425,1785
"2665","64850",2022,"September",13,5,525,1785
"2666","64850",2023,"March",13,7,525,1785
"2667","64854",2019,"November",3,2,94,546
"2668","64854",2020,"March",2,1,54,546
"2669","64854",2020,"September",2,2,50,546
"2670","64854",2021,"March",3,2,94,546
"2671","64854",2021,"September",2,1,84,546
"2672","64854",2022,"March",2,1,84,546
"2673","64854",2022,"September",2,1,84,546
"2674","64854",2023,"March",2,1,84,546
"2675","64856",2019,"November",2,2,20,338
"2676","64856",2020,"March",2,2,20,338
"2677","64856",2021,"March",1,1,10,338
"2678","64861",2019,"November",1,NA,19,98
"2679","64861",2020,"March",1,NA,19,98
"2680","64861",2021,"March",1,NA,19,98
"2681","64861",2021,"September",1,NA,19,98
"2682","64861",2022,"March",1,NA,19,98
"2683","64861",2022,"September",1,NA,19,98
"2684","64861",2023,"March",1,NA,19,98
"2685","64862",2019,"November",4,3,94,237
"2686","64862",2020,"March",5,4,143,237
"2687","64862",2020,"September",3,2,104,237
"2688","64862",2021,"March",4,3,123,237
"2689","64862",2021,"September",3,2,113,237
"2690","64862",2022,"March",3,2,113,237
"2691","64862",2022,"September",3,2,113,237
"2692","64862",2023,"March",4,3,133,237
"2693","64863",2019,"November",1,NA,4,143
"2694","64863",2020,"March",1,NA,4,143
"2695","64863",2021,"March",1,NA,4,143
"2696","64863",2021,"September",1,NA,4,143
"2697","64865",2019,"November",5,3,50,630
"2698","64865",2020,"March",5,3,50,630
"2699","64865",2020,"September",4,1,40,630
"2700","64865",2021,"March",5,2,50,630
"2701","64865",2021,"September",5,3,50,630
"2702","64865",2022,"March",5,3,50,630
"2703","64865",2022,"September",7,3,170,630
"2704","64865",2023,"March",7,3,170,630
"2705","64870",2019,"November",11,3,424,1581
"2706","64870",2020,"March",11,5,443,1581
"2707","64870",2020,"September",11,5,443,1581
"2708","64870",2021,"March",12,5,453,1581
"2709","64870",2021,"September",12,4,453,1581
"2710","64870",2022,"March",10,4,414,1581
"2711","64870",2022,"September",10,4,386,1581
"2712","64870",2023,"March",10,5,424,1581
"2713","64874",2019,"November",1,NA,20,67
"2714","65010",2019,"November",12,NA,334,467
"2715","65010",2020,"March",12,2,334,467
"2716","65010",2020,"September",8,2,215,467
"2717","65010",2021,"March",10,1,314,467
"2718","65010",2021,"September",10,1,322,467
"2719","65010",2022,"March",10,1,322,467
"2720","65010",2022,"September",10,1,317,467
"2721","65010",2023,"March",9,1,307,467
"2722","65013",2019,"November",3,1,55,182
"2723","65013",2020,"March",2,1,40,182
"2724","65013",2020,"September",1,1,20,182
"2725","65013",2021,"March",2,1,40,182
"2726","65013",2021,"September",2,1,40,182
"2727","65013",2022,"March",2,1,40,182
"2728","65013",2022,"September",2,1,40,182
"2729","65013",2023,"March",2,1,40,182
"2730","65014",2022,"September",1,NA,20,255
"2731","65014",2023,"March",1,NA,20,255
"2732","65016",2019,"November",1,NA,10,81
"2733","65016",2020,"March",2,NA,20,81
"2734","65016",2020,"September",2,NA,20,81
"2735","65016",2021,"March",2,NA,20,81
"2736","65016",2021,"September",2,NA,20,81
"2737","65016",2022,"March",2,NA,20,81
"2738","65016",2022,"September",2,NA,20,81
"2739","65016",2023,"March",2,NA,20,81
"2740","65018",2019,"November",17,6,399,493
"2741","65018",2020,"March",16,7,374,493
"2742","65018",2020,"September",13,6,263,493
"2743","65018",2021,"March",16,7,318,493
"2744","65018",2021,"September",15,6,298,493
"2745","65018",2022,"March",16,7,323,493
"2746","65018",2022,"September",14,5,268,493
"2747","65018",2023,"March",15,5,299,493
"2748","65020",2019,"November",12,5,480,906
"2749","65020",2020,"March",11,8,460,906
"2750","65020",2020,"September",11,5,440,906
"2751","65020",2021,"March",12,7,480,906
"2752","65020",2021,"September",11,7,480,906
"2753","65020",2022,"March",11,7,480,906
