county,zip code,city
Clinton,64429,Cameron
Warren,63383,Camp Branch
Vernon,64772,Camp Clark
Dunklin,63933,Campbell
Franklin,63068,Campbellton
Franklin,63090,Campbellton
Gasconade,65014,Canaan
New Madrid,63828,Canalou
Lewis,63435,Canton
Stone,65624,Cape Fair
Cape Girardeau,63701,Cape Girardeau
Cape Girardeau,63702,Cape Girardeau
Cape Girardeau,63703,Cape Girardeau
Cedar,65607,Caplinger Mills
Saint Charles,63348,Cappeln
Lawrence,65707,Capps Creek
Dunklin,63829,Cardwell
Jasper,64834,Carl Junction
Callaway,65251,Carrington
Carroll,64633,Carrollton
Jasper,64835,Carterville
Jasper,64836,Carthage
Dunklin,63857,Caruth
Pemiscot,63830,Caruthersville
Jasper,64836,Carytown
Wayne,63632,Cascade
Gasconade,65041,Case
Barry,65623,Cassville
Barry,65625,Cassville
Franklin,63015,Catawissa
New Madrid,63833,Catron
Howell,65626,Caulfield
Callaway,65022,Cedar City
Webster,65746,Cedar Gap
Jefferson,63016,Cedar Hill
Dallas,65590,Cedar Ridge
Taney,65627,Cedarcreek
Moniteau,65046,Cedron
Ralls,63436,Center
Cole,65023,Centertown
Johnson,64019,Centerview
Reynolds,63633,Centerville
Jasper,64801,Central City
Boone,65240,Centralia
Christian,65629,Chadwick
Scott,63740,Chaffee
Lincoln,63369,Chain of Rocks
Osage,65024,Chamois
Schuyler,63535,Chariton
Saint Louis,63114,Charlack
Mississippi,63834,Charleston
Shelby,63437,Cherry Box
Crawford,65446,Cherryville
Saint Louis,63005,Chesterfield
Saint Louis,63006,Chesterfield
Saint Louis,63017,Chesterfield
Christian,65630,Chestnutridge
Carter,63965,Chicopee
Johnson,64733,Chilhowee
Livingston,64601,Chillicothe
Livingston,64635,Chula
Texas,65483,Clara
Shelby,63437,Clarence
Randolph,65243,Clark
Cooper,65233,Clarks Fork
Moniteau,65025,Clarksburg
Dekalb,64430,Clarksdale
Saint Louis,63005,Clarkson Valley
Saint Louis,63017,Clarkson Valley
Pike,63336,Clarksville
Dunklin,63837,Clarkton
Marion,63401,Clay
Clay,64119,Claycomo
Saint Louis,63105,Clayton
Saint Louis,63124,Clayton
Nodaway,64431,Clearmont
Sainte Genevieve,63670,Clearwater
Gasconade,65014,Cleavesville
Cass,64734,Cleveland
Christian,65631,Clever
Randolph,65244,Clifton Hill
Camden,65324,Climax Springs
Henry,64735,Clinton
Franklin,63090,Clover Bottom
Wayne,63934,Clubb
Nodaway,64432,Clyde
Schuyler,63535,Coatsville
Madison,63645,Cobalt City
Daviess,64636,Coffey
Sainte Genevieve,63670,Coffman
Wayne,63964,Coldwater
Benton,65325,Cole Camp
Macon,65247,College Mound
Saint Clair,64738,Collins
Knox,63531,Colony
Scotland,63563,Colony
Boone,65201,Columbia
Boone,65202,Columbia
Boone,65203,Columbia
Boone,65205,Columbia
Boone,65211,Columbia
Boone,65212,Columbia
Boone,65215,Columbia
Boone,65216,Columbia
Boone,65217,Columbia
Boone,65218,Columbia
Boone,65299,Columbia
Scott,63742,Commerce
Nodaway,64433,Conception
Nodaway,64434,Conception Junction
Lafayette,64020,Concordia
Adair,63559,Connelsville
