"","type","desert","non-desert"
"1","arpa_paycheck_3",38263680,8320
"2","arpa_retention",18941100,6600
"3","arpa_training",2191800,NA
"4","crrsa_paycheck_1",36264932.18,244000
"5","crrsa_paycheck_2",90682754,232960
"6","crrsa_startup_expansion",38152987.45,455253.71
"7","crrsa_tech_asistance",3907645.68,11301.32
